,Turn,Civ1,Civ2,Relation,Value,Cable
0,7,Songhai,Iroquois,Confidence,Completely sure,Our diplomatic cables are thoroughly confident in this estimate
0,7,Iroquois,Songhai,Confidence,Unsure,This hypothesis comes from a not at all sure source
0,10,Morocco,Songhai,Confidence,Somewhat sure,This assessment comes from a somewhat sure source
0,10,Germany,Songhai,Confidence,Somewhat sure,Our intelligence officers are somewhat certain in this estimate
0,12,Songhai,Germany,Confidence,Unsure,Our agents are not at all convinced in this hypothesis
0,16,Germany,Iroquois,Confidence,Completely sure,This estimate comes from a not at all confident source
0,17,Morocco,Germany,Confidence,Unsure,Our intelligence officers are not at all certain in this assessment
0,18,Korea,Germany,Confidence,Very sure,Our intelligence officers are quite sure in this hypothesis
0,18,Iroquois,Korea,Confidence,Completely sure,This estimate comes from a thoroughly certain source
0,19,Inca,Germany,Confidence,Very sure,Our agents are very convinced in this report
0,19,Morocco,Songhai,Confidence,Unsure,Our agents are not at all convinced in this hypothesis
0,19,Korea,Songhai,Confidence,Unsure,Our agents are not at all certain in this hypothesis
0,26,Iroquois,Korea,Confidence,Unsure,This hypothesis comes from a not very sure source
0,27,Songhai,Morocco,Confidence,Unsure,This estimate comes from a not at all convinced source
0,28,Korea,Iroquois,Confidence,Unsure,This report comes from a not very sure source
0,29,Inca,Germany,Confidence,Completely sure,Our spies are not very confident in this estimate
0,30,Songhai,Germany,Confidence,Unsure,Our sources are not very convinced in this hypothesis
0,30,Germany,Morocco,Confidence,Unsure,This assessment comes from a not at all certain source
0,32,Songhai,Morocco,Confidence,Unsure,The Songhais intelligence officers are not very sure in this assessment
0,33,Morocco,Korea,Confidence,Unsure,The Moroccans spies are not at all certain in this assessment
0,35,Songhai,Morocco,Confidence,Unsure,This assessment comes from a not very certain source
0,35,Germany,Inca,Confidence,Completely sure,This assessment comes from a not very confident source
0,36,Korea,Germany,Confidence,Very sure,Our intelligence officers are very certain in this assessment
0,37,Germany,Morocco,Confidence,Somewhat sure,Our sources are somewhat convinced in this report
0,39,Iroquois,Morocco,Confidence,Unsure,This report comes from a not very convinced source
0,41,Morocco,Korea,Confidence,Unsure,Our agents are not at all convinced in this assessment
0,43,Germany,Inca,Confidence,Completely sure,This hypothesis comes from a thoroughly convinced source
0,45,Morocco,Germany,Confidence,Somewhat sure,This estimate comes from a somewhat convinced source
0,45,Korea,Germany,Confidence,Completely sure,This estimate comes from a somewhat confident source
0,46,Iroquois,Morocco,Confidence,Somewhat sure,Our diplomatic cables are somewhat sure in this hypothesis
0,47,Korea,Songhai,Confidence,Somewhat sure,Our sources are somewhat certain in this assessment
0,49,Songhai,Iroquois,Confidence,Completely sure,Our intelligence officers are not at all confident in this estimate
0,49,Germany,Iroquois,Confidence,Completely sure,This estimate comes from a not at all confident source
0,49,Korea,Inca,Confidence,Unsure,Our intelligence officers are not very sure in this hypothesis
0,50,Morocco,Korea,Confidence,Unsure,Our diplomatic cables are not at all sure in this report
0,51,Germany,Morocco,Confidence,Unsure,This hypothesis comes from a not at all certain source
0,51,Iroquois,Inca,Confidence,Unsure,This estimate comes from a not very convinced source
0,52,Morocco,Iroquois,Confidence,Unsure,This hypothesis comes from a not at all certain source
0,54,Songhai,Korea,Confidence,Somewhat sure,This estimate comes from a somewhat sure source
0,55,Iroquois,Germany,Confidence,Completely sure,Our agents are not at all confident in this assessment
0,56,Songhai,Iroquois,Confidence,Unsure,This hypothesis comes from a not at all sure source
0,58,Germany,Morocco,Confidence,Unsure,This hypothesis comes from a not very sure source
0,58,Iroquois,Korea,Confidence,Completely sure,This assessment comes from a not very confident source
0,59,Songhai,Morocco,Confidence,Completely sure,Our sources are not very confident in this estimate
0,59,Germany,Inca,Confidence,Completely sure,This assessment comes from a quite confident source
0,59,Korea,Inca,Confidence,Unsure,This estimate comes from a not at all convinced source
0,62,Iroquois,Inca,Confidence,Unsure,Our spies are not very certain in this assessment
0,63,Iroquois,Germany,Confidence,Unsure,This assessment comes from a not at all certain source
0,64,Songhai,Iroquois,Confidence,Unsure,The Songhais sources are not at all sure in this assessment
0,65,Germany,Morocco,Confidence,Unsure,This estimate comes from a not very sure source
0,65,Korea,Morocco,Confidence,Unsure,The Koreans agents are not at all certain in this report
0,66,Inca,Korea,Confidence,Somewhat sure,This estimate comes from a somewhat certain source
0,66,Korea,Morocco,Confidence,Unsure,This assessment comes from a not very sure source
