,Turn,Civ1,Civ2,Relation,Value,Cable
0,3,Songhai,Germany,Conquerability,average,We estimate the Germans to be an average target for attack
0,6,Germany,Ife,Conquerability,favorable,We report Ife to be a favorable target for attack
0,7,Iroquois,Songhai,Conquerability,average,We imagine the likelihood of forcefully dominating the Songhai to be average
0,9,Korea,Germany,Conquerability,average,We figure the Germans to be an average target for attack
0,10,Germany,Bogota,Conquerability,favorable,We consider the likelihood of forcefully dominating Bogota to be favorable
0,12,Songhai,Germany,Conquerability,average,We estimate the Germans to be an average target for attack
0,14,Songhai,Iroquois,Conquerability,average,We acknowledge the possibility of taking over the Iroquois to be average
0,15,Iroquois,Germany,Conquerability,average,We regard the feasibility of taking over the Germans to be average
0,17,Morocco,Germany,Conquerability,average,We consider the Germans to be an average target for attack
0,17,Iroquois,Songhai,Conquerability,average,We regard the Songhai to be an average target for attack
0,18,Germany,Songhai,Conquerability,average,We imagine the possibility of forcefully dominating the Songhai to be average
0,18,Iroquois,Korea,Conquerability,average,We report the Koreans to be an average target for attack
0,19,Songhai,Korea,Conquerability,average,We consider the Koreans to be an average target for attack
0,19,Korea,Songhai,Conquerability,average,We see the probability of forcefully dominating the Songhai to be average
0,19,Korea,Iroquois,Conquerability,average,We perceive the Iroquois to be an average target for attack
0,19,Morocco,Ife,Conquerability,average,We see the prospect of taking over Ife to be average
0,20,Morocco,Iroquois,Conquerability,average,We perceive the chance of conquering the Iroquois to be average
0,21,Songhai,Germany,Conquerability,average,We imagine the probability of forcefully dominating the Germans to be average
0,21,Songhai,Iroquois,Conquerability,average,We esteem the likelihood of taking over the Iroquois to be average
0,21,Germany,Korea,Conquerability,average,We regard the hope of forcefully dominating the Koreans to be average
0,22,Korea,Mombasa,Conquerability,favorable,We esteem the chance of conquering Mombasa to be favorable
0,23,Iroquois,Germany,Conquerability,average,We believe the Germans to be an average target for attack
0,24,Songhai,Panama City,Conquerability,average,We regard Panama City to be an average target for attack
0,24,Korea,Bogota,Conquerability,favorable,We report Bogota to be a favorable target for attack
0,25,Inca,Florence,Conquerability,favorable,We consider the chance of conquering Florence to be favorable
0,26,Songhai,Korea,Conquerability,average,We figure the Koreans to be an average target for attack
0,26,Germany,Songhai,Conquerability,average,We figure the Songhai to be an average target for attack
0,26,Songhai,Germany,Conquerability,average,The Songhai regard the Germans to be an average target for attack
0,26,Iroquois,Korea,Conquerability,average,We consider the Koreans to be an average target for attack
0,27,Germany,Inca,Conquerability,average,We consider the Incas to be an average target for attack
0,27,Iroquois,Songhai,Conquerability,average,We acknowledge the hope of taking over the Songhai to be average
0,27,Songhai,Mombasa,Conquerability,average,We esteem the feasibility of forcefully dominating Mombasa to be average
0,28,Songhai,Iroquois,Conquerability,average,We regard the Iroquois to be an average target for attack
0,28,Inca,Morocco,Conquerability,average,We believe the Moroccans to be an average target for attack
0,28,Morocco,Songhai,Conquerability,average,We look at the probability of forcefully dominating the Songhai to be average
0,28,Korea,Iroquois,Conquerability,average,We regard the Iroquois to be an average target for attack
0,29,Inca,Germany,Conquerability,average,We estimate the Germans to be an average target for attack
0,30,Songhai,Inca,Conquerability,average,We imagine the likelihood of taking over the Incas to be average
0,30,Songhai,Germany,Conquerability,average,We estimate the Germans to be an average target for attack
0,30,Germany,Morocco,Conquerability,average,We regard the probability of forcefully dominating the Moroccans to be average
0,31,Iroquois,Germany,Conquerability,average,We perceive the hope of taking over the Germans to be average
0,32,Morocco,Korea,Conquerability,favorable,We regard the Koreans to be a favorable target for attack
0,32,Germany,Korea,Conquerability,average,We believe the Koreans to be an average target for attack
0,32,Iroquois,Morocco,Conquerability, bad,We regard the possibility of taking over the Moroccans to be bad
0,33,Songhai,Korea,Conquerability,average,We see the probability of forcefully dominating the Koreans to be average
0,33,Korea,Morocco,Conquerability, bad,We consider the Moroccans to be a bad target for attack
0,34,Inca,Morocco,Conquerability, bad,The Incas believe the Moroccans to be a bad target for attack
0,34,Germany,Songhai,Conquerability, bad,We esteem the chance of taking over the Songhai to be bad
0,36,Germany,Kathmandu,Conquerability,average,We imagine the feasibility of forcefully dominating Kathmandu to be average
0,37,Morocco,Songhai,Conquerability,average,We figure the Songhai to be an average target for attack
0,37,Iroquois,Korea,Conquerability,average,The Iroquois consider the likelihood of forcefully dominating the Koreans to be average
0,37,Songhai,Korea,Conquerability,favorable,The Songhai imagine the probability of forcefully dominating the Koreans to be favorable
0,39,Iroquois,Germany,Conquerability,average,The Iroquois imagine the probability of forcefully dominating the Germans to be average
0,39,Inca,Morocco,Conquerability, bad,We look at the probability of taking over the Moroccans to be bad
0,39,Songhai,Singapore,Conquerability,soft,We perceive Singapore to be a soft target for attack
0,39,Korea,Kyzyl,Conquerability,average,We see the prospect of forcefully dominating Kyzyl to be average
0,39,Korea,Yerevan,Conquerability,average,We look at the probability of taking over Yerevan to be average
0,40,Korea,Songhai,Conquerability, bad,We regard the probability of taking over the Songhai to be bad
0,40,Morocco,Songhai,Conquerability,average,The Moroccans regard the Songhai to be an average target for attack
0,41,Morocco,Korea,Conquerability,favorable,We figure the Koreans to be a favorable target for attack
0,42,Germany,Songhai,Conquerability, bad,We look at the possibility of taking over the Songhai to be bad
0,43,Inca,Germany,Conquerability,average,The Incas regard the hope of conquering the Germans to be average
0,43,Germany,Inca,Conquerability,average,We perceive the feasibility of taking over the Incas to be average
0,44,Morocco,Iroquois,Conquerability,favorable,We perceive the Iroquois to be a favorable target for attack
0,44,Germany,Bogota,Conquerability,favorable,We believe Bogota to be a favorable target for attack
0,45,Morocco,Germany,Conquerability,favorable,We figure the Germans to be a favorable target for attack
0,45,Songhai,Kyzyl,Conquerability,average,We esteem the prospect of forcefully dominating Kyzyl to be average
0,46,Morocco,Songhai,Conquerability,average,We estimate the Songhai to be an average target for attack
0,47,Iroquois,Songhai,Conquerability,average,We consider the Songhai to be an average target for attack
0,47,Songhai,Florence,Conquerability,soft,We regard the hope of taking over Florence to be soft
0,48,Songhai,Germany,Conquerability,favorable,We consider the prospect of taking over the Germans to be favorable
0,49,Inca,Germany,Conquerability,average,We report the Germans to be an average target for attack
0,49,Morocco,Inca,Conquerability,favorable,We look at the probability of forcefully dominating the Incas to be favorable
0,50,Iroquois,Korea,Conquerability,average,We consider the Koreans to be an average target for attack
0,50,Inca,Kathmandu,Conquerability,favorable,We estimate Kathmandu to be a favorable target for attack
0,51,Songhai,Morocco,Conquerability, bad,We esteem the likelihood of forcefully dominating the Moroccans to be bad
0,52,Morocco,Bogota,Conquerability,soft,We see the possibility of taking over Bogota to be soft
0,55,Iroquois,Germany,Conquerability,average,We believe the Germans to be an average target for attack
0,55,Germany,Kathmandu,Conquerability,favorable,We look at the hope of forcefully dominating Kathmandu to be favorable
0,55,Germany,Yerevan,Conquerability,favorable,We report Yerevan to be a favorable target for attack
0,56,Songhai,Iroquois,Conquerability,average,We esteem the prospect of forcefully dominating the Iroquois to be average
0,56,Iroquois,Budapest,Conquerability,average,We perceive Budapest to be an average target for attack
0,57,Songhai,Germany,Conquerability,average,We regard the Germans to be an average target for attack
0,57,Inca,Iroquois,Conquerability,average,We perceive the chance of taking over the Iroquois to be average
0,57,Songhai,Florence,Conquerability,favorable,We imagine the probability of conquering Florence to be favorable
0,57,Germany,Ife,Conquerability,average,We regard the feasibility of forcefully dominating Ife to be average
0,58,Inca,Korea,Conquerability,average,We look at the prospect of conquering the Koreans to be average
0,58,Korea,Morocco,Conquerability, bad,The Koreans consider the possibility of taking over the Moroccans to be bad
0,58,Morocco,Kyzyl,Conquerability,favorable,We figure Kyzyl to be a favorable target for attack
0,59,Songhai,Morocco,Conquerability, bad,We look at the hope of conquering the Moroccans to be bad
0,59,Inca,Germany,Conquerability,average,We see the likelihood of conquering the Germans to be average
0,59,Morocco,Germany,Conquerability,favorable,We perceive the chance of taking over the Germans to be favorable
0,59,Korea,Inca,Conquerability,average,We acknowledge the feasibility of conquering the Incas to be average
0,59,Inca,Singapore,Conquerability,favorable,We report Singapore to be a favorable target for attack
0,59,Germany,Singapore,Conquerability,favorable,We regard Singapore to be a favorable target for attack
0,60,Morocco,Iroquois,Conquerability,favorable,We regard the prospect of conquering the Iroquois to be favorable
0,60,Korea,Bogota,Conquerability,favorable,We report Bogota to be a favorable target for attack
0,61,Songhai,Singapore,Conquerability,favorable,We figure Singapore to be a favorable target for attack
0,62,Inca,Songhai,Conquerability, bad,We consider the Songhai to be a bad target for attack
0,62,Iroquois,Inca,Conquerability,average,We report the Incas to be an average target for attack
0,63,Songhai,Iroquois,Conquerability,favorable,We figure the Iroquois to be a favorable target for attack
0,63,Korea,Germany,Conquerability,average,We estimate the Germans to be an average target for attack
0,64,Morocco,Songhai,Conquerability,favorable,We believe the Songhai to be a favorable target for attack
0,64,Inca,Kathmandu,Conquerability,average,We see the feasibility of conquering Kathmandu to be average
0,64,Inca,Panama City,Conquerability,favorable,We regard Panama City to be a favorable target for attack
0,64,Morocco,Ife,Conquerability,favorable,We regard Ife to be a favorable target for attack
0,64,Iroquois,Panama City,Conquerability,favorable,We consider the prospect of taking over Panama City to be favorable
0,65,Germany,Morocco,Conquerability,average,We figure the Moroccans to be an average target for attack
0,65,Inca,Mombasa,Conquerability,average, We imagine the hope of conquering Mombasa to be average
0,65,Korea,Florence,Conquerability,favorable,We figure Florence to be a favorable target for attack
0,66,Songhai,Inca,Conquerability,average,We see the likelihood of taking over the Incas to be average
0,66,Inca,Korea,Conquerability,average,We believe the Koreans to be an average target for attack
0,66,Iroquois,Kathmandu,Conquerability,average,We imagine the likelihood of forcefully dominating Kathmandu to be average
0,67,Songhai,Morocco,Conquerability,average,We report the Moroccans to be an average target for attack
0,67,Germany,Inca,Conquerability,average,We consider the Incas to be an average target for attack
0,67,Iroquois,Morocco,Conquerability, bad,We regard the Moroccans to be a bad target for attack
0,68,Morocco,Iroquois,Conquerability,average,We consider the Iroquois to be an average target for attack
0,68,Songhai,Korea,Conquerability,favorable,The Songhai perceive the Koreans to be a favorable target for attack
0,70,Songhai,Iroquois,Conquerability,average,We report the Iroquois to be an average target for attack
0,70,Morocco,Iroquois,Conquerability,average,The Moroccans look at the feasibility of forcefully dominating the Iroquois to be average
0,71,Morocco,Inca,Conquerability,average,We consider the probability of taking over the Incas to be average
0,71,Iroquois,Germany,Conquerability,average,We figure the Germans to be an average target for attack
0,71,Germany,Singapore,Conquerability,favorable,We figure Singapore to be a favorable target for attack
