,Turn,Civ1,Civ2,Relation,Value,Cable
0,7,Iroquois,Songhai,Danger,major,We feel that the Songhai are a major obstacle to our strategies
0,10,Germany,Songhai,Danger,major,The obstacle that the Songhai show is described as major by our intelligence officers
0,11,Songhai,Morocco,Danger,moderate,We believe that the Moroccans constitute a moderate danger to our ambitions
0,11,Iroquois,Morocco,Danger,moderate,The hazard that the Moroccans embody is portrayed as moderate by our agents
0,12,Songhai,Germany,Danger,major,We suspect that the Germans amount to a major hazard to our ambitions
0,14,Songhai,Iroquois,Danger,major,The hazard that the Iroquois present is labeled as major by our sources
0,15,Iroquois,Germany,Danger,moderate,We estimate that the Germans represent a moderate hazard to our ambitions
0,15,Songhai,Morocco,Danger,moderate,The Songhai imagine that the Moroccans have become a moderate threat to the Songhais plans
0,16,Morocco,Inca,Danger,severe,We suspect that the Incas present a severe obstacle to our plans
0,16,Germany,Morocco,Danger,moderate,The hazard that the Moroccans present is labeled as moderate by our intelligence officers
0,16,Germany,Iroquois,Danger,moderate,The hazard that the Iroquois constitute is defined as moderate by our spies
0,17,Inca,Morocco,Danger,minor,The obstacle that the Moroccans constitute is defined as minor by our diplomatic cables
0,18,Germany,Songhai,Danger,major,The threat that the Songhai show is represented as major by our intelligence officers
0,18,Korea,Germany,Danger,minor,We infer that the Germans present a minor hazard to our plans
0,18,Iroquois,Korea,Danger,major,The threat that the Koreans present is labeled as major by our diplomatic cables
0,19,Songhai,Korea,Danger,minor,The danger that the Koreans embody is portrayed as minor by our spies
0,19,Germany,Inca,Danger,minor,We imagine that the Incas present a minor problem to our interests
0,21,Songhai,Iroquois,Danger,minor,The obstacle that the Iroquois present is portrayed as minor by our sources
0,21,Iroquois,Songhai,Danger,major,The Iroquois imagine that the Songhai constitute a major risk to the Iroquois interests
0,22,Korea,Morocco,Danger,minor,The hazard that the Moroccans present is labeled as minor by our spies
0,23,Germany,Morocco,Danger,minor,The risk that the Moroccans constitute is portrayed as minor by our intelligence officers
0,23,Iroquois,Germany,Danger,moderate,The risk that the Germans show is characterized as moderate by our sources
0,25,Iroquois,Morocco,Danger,minor,We imagine that the Moroccans are a minor danger to our plans
0,26,Germany,Songhai,Danger,major,The obstacle that the Songhai embody is portrayed as major by our spies
0,26,Korea,Songhai,Danger,minor,The hazard that the Songhai constitute is defined as minor by our intelligence officers
0,27,Songhai,Morocco,Danger,minor,The danger that the Moroccans constitute is defined as minor by our agents
0,27,Iroquois,Germany,Danger,moderate,The Iroquois infer that the Germans represent a moderate danger to the Iroquois pursuits
0,27,Germany,Inca,Danger,minor,The problem that the Incas constitute is described as minor by our diplomatic cables
0,27,Germany,Iroquois,Danger,moderate,The hazard that the Iroquois show is represented as moderate by our intelligence officers
0,27,Korea,Germany,Danger,minor,The danger that the Germans present is defined as minor by our spies
0,27,Morocco,Songhai,Danger,moderate,The Moroccans suspect that the Songhai compose a moderate danger to the Moroccans ambitions
0,28,Inca,Morocco,Danger,major,The problem that the Moroccans embody is portrayed as major by our spies
0,29,Inca,Germany,Danger,minor,We think that the Germans constitute a minor obstacle to our plans
0,30,Songhai,Germany,Danger,major,The hazard that the Germans show is defined as major by our agents
0,30,Inca,Songhai,Danger,moderate,We feel that the Songhai comprise a moderate problem to our pursuits
0,32,Germany,Korea,Danger,minor,We believe that the Koreans have become a minor danger to our activities
0,32,Iroquois,Morocco,Danger,minor,The problem that the Moroccans embody is defined as minor by our sources
0,33,Korea,Morocco,Danger,minor,We infer that the Moroccans present a minor threat to our ambitions
0,35,Songhai,Morocco,Danger,minor,The threat that the Moroccans show is described as minor by our intelligence officers
0,35,Songhai,Iroquois,Danger,minor,We imagine that the Iroquois constitute a minor problem to our activities
0,36,Songhai,Morocco,Danger,minor,The obstacle that the Moroccans constitute is defined as minor by the Songhais sources
0,38,Inca,Songhai,Danger,moderate,The threat that the Songhai show is labeled as moderate by our spies
0,38,Morocco,Inca,Danger,minor,The risk that the Incas present is characterized as minor by our diplomatic cables
0,38,Morocco,Germany,Danger,moderate,We think that the Germans have become a moderate obstacle to our plans
0,38,Germany,Iroquois,Danger,moderate,We infer that the Iroquois compose a moderate risk to our activities
0,39,Iroquois,Morocco,Danger,minor,We suspect that the Moroccans amount to a minor problem to our pursuits
0,40,Iroquois,Inca,Danger,moderate,The obstacle that the Incas represent is portrayed as moderate by the Iroquois agents
0,40,Iroquois,Inca,Danger,moderate,The risk that the Incas represent is characterized as moderate by our spies
0,41,Inca,Iroquois,Danger,moderate,We think that the Iroquois represent a moderate problem to our plans
0,42,Germany,Songhai,Danger,minor,We think that the Songhai have become a minor risk to our interests
0,43,Songhai,Morocco,Danger,minor,The danger that the Moroccans embody is defined as minor by our agents
