,Turn,Civ1,Civ2,Relation,Value,Cable
0,5,Morocco,Inca,Diplomatic Opinion,neutral,A neutral civilization is how our sources portrayed their rapport with the Incas
0,7,Songhai,Iroquois,Diplomatic Opinion,neutral,A neutral party is how our intelligence officers portrayed their association with the Iroquois
0,9,Korea,Germany,Diplomatic Opinion,neutral,Our agents currently see the Germans as a neutral party
0,10,Songhai,Morocco,Diplomatic Opinion,neutral,Seeing as we can decipher the Songhai imagines we are a neutral party
0,10,Germany,Korea,Diplomatic Opinion,neutral,Whatever the Koreans advertised position may be we perceive the Koreans as a neutral party
0,11,Songhai,Morocco,Diplomatic Opinion,neutral,We are continually reminded by the Moroccans behavior why we call the Moroccans a neutral civilization
0,11,Morocco,Iroquois,Diplomatic Opinion,neutral,Inasmuch as we can tell the Moroccans feels we are a neutral nation
0,15,Iroquois,Germany,Diplomatic Opinion,neutral,A neutral civilization is how our diplomatic cables defined their association with the Germans
0,16,Morocco,Inca,Diplomatic Opinion,neutral,A neutral party is how our spies represented their relations with the Incas
0,16,Germany,Morocco,Diplomatic Opinion,neutral,Whatever the Moroccans open disposition may be we perceive the Moroccans as a neutral nation
0,17,Morocco,Germany,Diplomatic Opinion,neutral,Our agents at present regard the Germans as a neutral country
0,17,Iroquois,Germany,Diplomatic Opinion,neutral,The Iroquois consider the Germans to be a neutral nation
0,17,Iroquois,Songhai,Diplomatic Opinion,neutral,Our foreign officers now regard the Songhai as a neutral country
0,18,Germany,Songhai,Diplomatic Opinion,neutral,We perceive the Songhai to be a neutral country
0,18,Korea,Germany,Diplomatic Opinion,neutral,Insofar as we can guess the Germans feels we are a neutral country
0,18,Iroquois,Morocco,Diplomatic Opinion,neutral,We consider the Moroccans to be a neutral country
0,18,Songhai,Morocco,Diplomatic Opinion,neutral,A neutral civilization is how the Songhais sources described their rapport with the Moroccans
0,18,Iroquois,Korea,Diplomatic Opinion,neutral,Whatever the Koreans advertised position may be we perceive the Koreans as a neutral country
0,19,Songhai,Morocco,Diplomatic Opinion,neutral,Insofar as we can discern the Moroccans believes we are a neutral civilization
0,19,Germany,Iroquois,Diplomatic Opinion,neutral,The Germans are regularly reminded by the Iroquois behavior why the Germans call the Iroquois a neutral nation
0,19,Inca,Germany,Diplomatic Opinion,neutral,We regard the Germans to be a neutral party
0,19,Morocco,Songhai,Diplomatic Opinion,neutral,Our foreign officers at present consider the Songhai as a neutral civilization
0,19,Korea,Iroquois,Diplomatic Opinion,neutral,Insofar as we can tell the Iroquois feels we are a neutral country
0,21,Songhai,Iroquois,Diplomatic Opinion,neutral,We are periodically reminded by the Iroquois behavior why we call the Iroquois a neutral nation
0,23,Morocco,Korea,Diplomatic Opinion,neutral,We imagine the Koreans to be a neutral country
0,23,Morocco,Songhai,Diplomatic Opinion,neutral,The Moroccans representatives currently look at the Songhai as a neutral civilization
0,25,Iroquois,Morocco,Diplomatic Opinion,neutral,Whatever the Moroccans advertised position may be we acknowledge the Moroccans as a neutral civilization
0,26,Germany,Songhai,Diplomatic Opinion,neutral,A neutral nation is how our spies represented their association with the Songhai
0,26,Korea,Songhai,Diplomatic Opinion,neutral,We are continually reminded by the Songhais behavior why we call the Songhai a neutral civilization
0,26,Iroquois,Korea,Diplomatic Opinion,neutral,Whatever the Koreans popular stance may be we look at the Koreans as a neutral nation
0,27,Korea,Germany,Diplomatic Opinion,neutral,Whatever the Germans reputed posture may be we consider the Germans as a neutral country
