,Turn,Civ1,Civ2,Relation,Value,Cable
0,2,Germany,Songhai,Diplomatic Stance,friendly,Our reputed policy with respect to the Songhai feels friendly
0,3,Songhai,Germany,Diplomatic Stance,friendly,Our relations with the Germans at present are friendly
0,3,Korea,Mombasa,Diplomatic Stance,neutral,Our public stance toward Mombasa appears neutral
0,6,Inca,Morocco,Diplomatic Stance,friendly,Our relations with the Moroccans presently are friendly
0,6,Germany,Ife,Diplomatic Stance,neutral,Our relations with Ife these days are neutral
0,6,Korea,Bogota,Diplomatic Stance,neutral,Our announced feeling regarding Bogota looks neutral
0,7,Songhai,Iroquois,Diplomatic Stance,friendly,We disclosed that transactions between us and the Iroquois are these days friendly
0,7,Iroquois,Songhai,Diplomatic Stance,friendly,A friendly manner with the Songhai is what we maintain
0,10,Morocco,Songhai,Diplomatic Stance,friendly,We proclaimed that relations between us and the Songhai are now friendly
0,10,Germany,Songhai,Diplomatic Stance,friendly,We are displaying a friendly stance toward the Songhai
0,11,Iroquois,Morocco,Diplomatic Stance,friendly,We are showing a friendly posture toward the Moroccans
0,12,Songhai,Germany,Diplomatic Stance,friendly,We announced that proceedings between us and the Germans are now friendly
0,12,Morocco,Iroquois,Diplomatic Stance,friendly,We are displaying a friendly position toward the Iroquois
0,14,Iroquois,Bogota,Diplomatic Stance,neutral,We professed that proceedings between us and Bogota are of late neutral
0,15,Morocco,Kathmandu,Diplomatic Stance,friendly,Our public posture with respect to Kathmandu looks friendly
0,16,Morocco,Inca,Diplomatic Stance,friendly,We are displaying a friendly manner toward the Incas
0,16,Germany,Morocco,Diplomatic Stance,friendly,A friendly stance with the Moroccans is what we affirm
0,16,Iroquois,Songhai,Diplomatic Stance,friendly,The Iroquois announced that matters between the Iroquois and the Songhai are currently friendly
0,16,Germany,Iroquois,Diplomatic Stance,friendly,Our relations with the Iroquois at present are friendly
0,17,Inca,Morocco,Diplomatic Stance,friendly,We are taking a friendly posture toward the Moroccans
0,17,Iroquois,Songhai,Diplomatic Stance,friendly,Our relations with the Songhai now are friendly
0,18,Morocco,Songhai,Diplomatic Stance,friendly,The Moroccans are exhibiting a friendly stance toward the Songhai
0,18,Korea,Germany,Diplomatic Stance,friendly,Our relations with the Germans at present are friendly
0,18,Iroquois,Korea,Diplomatic Stance,friendly,Our relations with the Koreans these days are friendly
0,18,Germany,Mombasa,Diplomatic Stance,neutral,Our professed diplomacy as regards Mombasa appears neutral
0,19,Iroquois,Korea,Diplomatic Stance,friendly,A friendly position with the Koreans is what the Iroquois declare
0,19,Songhai,Morocco,Diplomatic Stance,friendly,We proclaimed that proceedings between us and the Moroccans are at present friendly
0,19,Germany,Inca,Diplomatic Stance,friendly,Our open stance on the subject of the Incas looks friendly
0,19,Morocco,Ife,Diplomatic Stance,neutral,Our relations with Ife these days are neutral
0,19,Iroquois,Ife,Diplomatic Stance,friendly,Our open posture in regard to Ife feels friendly
0,21,Songhai,Germany,Diplomatic Stance,friendly,Our open stance concerning the Germans looks friendly
0,21,Songhai,Iroquois,Diplomatic Stance,friendly,We are showing a friendly stance toward the Iroquois
0,21,Germany,Korea,Diplomatic Stance,friendly,We professed that proceedings between us and the Koreans are of late friendly
0,22,Korea,Morocco,Diplomatic Stance,friendly,We professed that proceedings between us and the Moroccans are these days friendly
0,22,Inca,Kathmandu,Diplomatic Stance,neutral,A neutral position with Kathmandu is what we avow
0,23,Germany,Morocco,Diplomatic Stance,friendly,Our relations with the Moroccans currently are friendly
0,23,Songhai,Korea,Diplomatic Stance,friendly,The Songhais relations with the Koreans now are friendly
0,23,Germany,Singapore,Diplomatic Stance,neutral,Our relations with Singapore presently are neutral
0,23,Iroquois,Singapore,Diplomatic Stance,friendly,We professed that dealings between us and Singapore are now friendly
0,24,Korea,Bogota,Diplomatic Stance,neutral,We are taking a neutral manner toward Bogota
0,25,Korea,Morocco,Diplomatic Stance,friendly,The Koreans are exhibiting a friendly position toward the Moroccans
0,25,Inca,Florence,Diplomatic Stance,neutral,We are taking a neutral attitude toward Florence
0,25,Germany,Yerevan,Diplomatic Stance,neutral,We are taking a neutral attitude toward Yerevan
0,26,Songhai,Korea,Diplomatic Stance,friendly,Our relations with the Koreans presently are friendly
0,26,Korea,Iroquois,Diplomatic Stance,friendly,The Koreans disclosed that proceedings between the Koreans and the Iroquois are currently friendly
0,26,Iroquois,Korea,Diplomatic Stance,friendly,A friendly manner with the Koreans is what we affirm
0,26,Morocco,Kathmandu,Diplomatic Stance,friendly,We announced that relations between us and Kathmandu are these days friendly
0,27,Germany,Korea,Diplomatic Stance,friendly,The Germans are taking a friendly posture toward the Koreans
0,27,Morocco,Inca,Diplomatic Stance,friendly,Our announced policy with respect to the Incas is likely friendly
0,27,Korea,Iroquois,Diplomatic Stance,friendly,The Koreans are exhibiting a friendly manner toward the Iroquois
0,27,Germany,Iroquois,Diplomatic Stance,friendly,A friendly stance with the Iroquois is what we avow
0,27,Korea,Germany,Diplomatic Stance,friendly,We are showing a friendly position toward the Germans
0,27,Songhai,Kyzyl,Diplomatic Stance,neutral,We announced that affairs between us and Kyzyl are currently neutral
0,28,Songhai,Iroquois,Diplomatic Stance,friendly,We announced that transactions between us and the Iroquois are at present friendly
0,28,Inca,Morocco,Diplomatic Stance,friendly,We are taking a friendly attitude toward the Moroccans
0,28,Morocco,Songhai,Diplomatic Stance,friendly,Our reputed diplomacy with respect to the Songhai appears friendly
0,28,Korea,Iroquois,Diplomatic Stance,friendly,A friendly stance with the Iroquois is what we maintain
0,28,Songhai,Singapore,Diplomatic Stance,neutral,Our popular diplomacy with respect to Singapore feels neutral
0,28,Iroquois,Bogota,Diplomatic Stance,neutral,Our announced posture concerning Bogota looks neutral
0,29,Inca,Germany,Diplomatic Stance,friendly,A friendly stance with the Germans is what we affirm
0,30,Songhai,Inca,Diplomatic Stance,friendly,A friendly stance with the Incas is what we avow
0,30,Inca,Songhai,Diplomatic Stance,friendly,We are exhibiting a friendly disposition toward the Songhai
0,30,Germany,Morocco,Diplomatic Stance,friendly,The Germans popular stance with respect to the Moroccans appears friendly
0,32,Iroquois,Morocco,Diplomatic Stance,friendly,A friendly posture with the Moroccans is what we state
0,33,Korea,Songhai,Diplomatic Stance,friendly,A friendly disposition with the Songhai is what we affirm
0,34,Germany,Songhai,Diplomatic Stance,friendly,Our announced position vis-à-vis the Songhai feels friendly
0,34,Iroquois,Korea,Diplomatic Stance,friendly,Our relations with the Koreans currently are friendly
0,34,Germany,Songhai,Diplomatic Stance,friendly,The Germans relations with the Songhai these days are friendly
0,35,Morocco,Inca,Diplomatic Stance,friendly,The Moroccans proclaimed that matters between the Moroccans and the Incas are of late friendly
0,35,Morocco,Yerevan,Diplomatic Stance,neutral,We disclosed that relations between us and Yerevan are presently neutral
0,35,Germany,Singapore,Diplomatic Stance,neutral,We announced that matters between us and Singapore are of late neutral
0,36,Germany,Kathmandu,Diplomatic Stance,neutral,We announced that matters between us and Kathmandu are of late neutral
0,37,Morocco,Songhai,Diplomatic Stance,friendly,A friendly position with the Songhai is what we maintain
0,37,Germany,Morocco,Diplomatic Stance,friendly,A friendly attitude with the Moroccans is what we maintain
0,37,Iroquois,Songhai,Diplomatic Stance,friendly,We disclosed that proceedings between us and the Songhai are now friendly
0,37,Iroquois,Budapest,Diplomatic Stance,friendly, We are showing a friendly manner toward Budapest
0,38,Germany,Inca,Diplomatic Stance,friendly,The Germans published that relations between the Germans and the Incas are presently friendly
0,38,Morocco,Germany,Diplomatic Stance,friendly,We are displaying a friendly attitude toward the Germans
0,38,Germany,Iroquois,Diplomatic Stance,friendly,We proclaimed that matters between us and the Iroquois are of late friendly
0,38,Germany,Panama City,Diplomatic Stance,neutral,Our relations with Panama City at present are neutral
0,39,Songhai,Inca,Diplomatic Stance,friendly,A friendly stance with the Incas is what we avow
0,39,Inca,Morocco,Diplomatic Stance,friendly,We published that proceedings between us and the Moroccans are of late friendly
0,39,Morocco,Songhai,Diplomatic Stance,friendly,The Moroccans outward position on the subject of the Songhai seems friendly
0,39,Inca,Germany,Diplomatic Stance,friendly,Our relations with the Germans presently are friendly
0,39,Songhai,Singapore,Diplomatic Stance,neutral,We proclaimed that proceedings between us and Singapore are currently neutral
0,39,Iroquois,Ife,Diplomatic Stance,friendly,We announced that matters between us and Ife are now friendly
0,40,Korea,Songhai,Diplomatic Stance,friendly,Our reputed stance regarding the Songhai is likely friendly
0,40,Iroquois,Inca,Diplomatic Stance,friendly,We are displaying a friendly position toward the Incas
0,41,Morocco,Korea,Diplomatic Stance,friendly,A friendly posture with the Koreans is what we profess
0,41,Songhai,Panama City,Diplomatic Stance,aggressive,An aggressive position with Panama City is what we declare
0,41,Germany,Florence,Diplomatic Stance,neutral,A neutral attitude with Florence is what we avow
0,42,Germany,Songhai,Diplomatic Stance,friendly,Our relations with the Songhai these days are friendly
0,42,Songhai,Germany,Diplomatic Stance,friendly,A friendly stance with the Germans is what the Songhai state
0,42,Iroquois,Korea,Diplomatic Stance,friendly,A friendly posture with the Koreans is what we assert
0,42,Songhai,Kathmandu,Diplomatic Stance,neutral,A neutral position with Kathmandu is what we claim
0,42,Inca,Florence,Diplomatic Stance,neutral,We are showing a neutral attitude toward Florence
0,43,Songhai,Morocco,Diplomatic Stance,friendly,We are displaying a friendly posture toward the Moroccans
0,43,Germany,Korea,Diplomatic Stance,friendly,Our relations with the Koreans currently are friendly
0,43,Songhai,Budapest,Diplomatic Stance,neutral,Our reputed feeling vis-à-vis Budapest appears neutral
0,44,Korea,Morocco,Diplomatic Stance,friendly,We professed that proceedings between us and the Moroccans are of late friendly
0,44,Iroquois,Germany,Diplomatic Stance,friendly,The Iroquois relations with the Germans currently are friendly
0,45,Morocco,Germany,Diplomatic Stance,friendly,Our relations with the Germans at present are friendly
0,45,Korea,Germany,Diplomatic Stance,friendly,Our open diplomacy on the subject of the Germans looks friendly
0,45,Songhai,Mombasa,Diplomatic Stance,friendly,Our relations with Mombasa currently are friendly
0,46,Morocco,Germany,Diplomatic Stance,friendly,The Moroccans are displaying a friendly disposition toward the Germans
0,46,Korea,Iroquois,Diplomatic Stance,friendly,We are displaying a friendly manner toward the Iroquois
0,46,Inca,Mombasa,Diplomatic Stance,neutral,We published that proceedings between us and Mombasa are at present neutral
0,46,Germany,Kyzyl,Diplomatic Stance,neutral,A neutral manner with Kyzyl is what we state
0,47,Korea,Songhai,Diplomatic Stance,friendly,We proclaimed that proceedings between us and the Songhai are currently friendly
0,47,Iroquois,Songhai,Diplomatic Stance,friendly,Our relations with the Songhai these days are friendly
0,47,Iroquois,Panama City,Diplomatic Stance,friendly,Our professed posture regarding Panama City looks friendly
0,48,Iroquois,Kyzyl,Diplomatic Stance,friendly,We published that transactions between us and Kyzyl are at present friendly
0,49,Morocco,Inca,Diplomatic Stance,friendly,We are displaying a friendly disposition toward the Incas
