,Turn,Civ1,Civ2,Relation,Value,Cable
0,6,Korea,Bogota,Economy,average,We believe Bogotas economy to be average
0,12,Songhai,Germany,Economy,average,The Germans economic force has reached an average status according to our intelligence officers
0,17,Inca,Morocco,Economy,average,We report the Moroccans economy to be average
0,17,Morocco,Germany,Economy,average,The Germans economic potential has attained an average status according to our diplomatic cables
0,18,Germany,Mombasa,Economy,poor,We estimate Mombasas economy to be poor
0,19,Songhai,Korea,Economy,average,The Koreans economic force has reached an average threshold according to our diplomatic cables
0,22,Songhai,Germany,Economy,strong,The Germans economic strength has approached a strong threshold according to the Songhais diplomatic cables
0,23,Iroquois,Germany,Economy,strong,The Germans economic force has come to a strong degree according to the Iroquois agents
0,23,Iroquois,Germany,Economy,average,The Germans economic potency has hit an average position according to our agents
0,26,Korea,Songhai,Economy,poor,The Songhais economic power has come to a poor status according to our diplomatic cables
0,26,Morocco,Kathmandu,Economy,poor,We report Kathmandus economy to be poor
0,28,Inca,Morocco,Economy,average,We regard the Moroccans economy to be average
0,28,Germany,Songhai,Economy,average,The Songhais economic power has reached an average standing according to the Germans sources
0,28,Morocco,Germany,Economy,average, The Moroccans estimate the Germans economy to be average
0,30,Morocco,Germany,Economy,poor,The Germans economic potency has hit a poor standing according to the Moroccans diplomatic cables
0,30,Korea,Iroquois,Economy,average,The Iroquois economic capability has come to an average degree according to the Koreans spies
0,30,Germany,Morocco,Economy,average,We regard the Moroccans economy to be average
0,32,Songhai,Korea,Economy,strong,The Koreans economic potential has attained a strong level according to the Songhais sources
0,33,Germany,Songhai,Economy,strong,The Germans report the Songhais economy to be strong
0,35,Korea,Iroquois,Economy,average,The Koreans perceive the Iroquois economy to be average
0,35,Germany,Inca,Economy,poor,We perceive the Incas economy to be poor
0,35,Inca,Ife,Economy,average,Ifes economic potential has reached an average status according to our spies
0,38,Inca,Songhai,Economy,average,We figure the Songhais economy to be average
0,38,Germany,Iroquois,Economy,poor,We consider the Iroquois economy to be poor
0,39,Morocco,Inca,Economy,average,The Moroccans estimate the Incas economy to be average
0,41,Songhai,Panama City,Economy,strong,Panama Citys economic force has approached a strong threshold according to our agents
0,41,Korea,Mombasa,Economy,strong,We report Mombasas economy to be strong
0,42,Germany,Korea,Economy,strong,The Koreans economic force has arrived at a strong status according to the Germans agents
0,43,Germany,Inca,Economy,poor,We regard the Incas economy to be poor
0,47,Korea,Songhai,Economy,weak,We estimate the Songhais economy to be weak
0,47,Germany,Singapore,Economy,average,We estimate Singapores economy to be average
0,48,Morocco,Mombasa,Economy,average,We believe Mombasas economy to be average
0,51,Songhai,Morocco,Economy,average,We report the Moroccans economy to be average
0,52,Morocco,Germany,Economy,poor,We regard the Germans economy to be poor
0,54,Songhai,Korea,Economy,average,The Koreans economic strength has come to an average degree according to our diplomatic cables
0,57,Morocco,Korea,Economy,average,The Koreans economic strength has reached an average degree according to the Moroccans intelligence officers
0,57,Iroquois,Songhai,Economy,average,The Songhais economic potency has come to an average degree according to our spies
0,58,Songhai,Korea,Economy,strong,The Koreans economic potential has come to a strong position according to the Songhais agents
0,58,Germany,Morocco,Economy,average,The Moroccans economic potential has reached an average level according to our diplomatic cables
0,59,Morocco,Germany,Economy,poor,We believe the Germans economy to be poor
0,59,Germany,Inca,Economy,poor,We report the Incas economy to be poor
0,61,Korea,Songhai,Economy,poor,We estimate the Songhais economy to be poor
0,66,Songhai,Germany,Economy,average,We estimate the Germans economy to be average
0,66,Korea,Morocco,Economy,poor,We consider the Moroccans economy to be poor
0,67,Korea,Germany,Economy,average,The Germans economic power has come to an average standing according to the Koreans spies
0,68,Morocco,Iroquois,Economy,poor,The Iroquois economic potency has reached a poor status according to our intelligence officers
0,69,Iroquois,Ife,Economy,poor,Ifes economic potency has hit a poor level according to our sources
0,70,Inca,Songhai,Economy,poor,We perceive the Songhais economy to be poor
0,71,Iroquois,Germany,Economy,average,The Germans economic power has hit an average status according to our sources
