,Turn,Civ1,Civ2,Relation,Value,Cable
0,2,Germany,Songhai,Military Strength,average,The Songhais military potency has hit an average degree according to our intelligence officers
0,2,Songhai,Ife,Military Strength,poor,Ifes military potential has reached a poor threshold according to our diplomatic cables
0,7,Iroquois,Songhai,Military Strength,average,We perceive the Songhais military to be average
0,9,Korea,Germany,Military Strength,average,We believe the Germans military to be average
0,10,Germany,Korea,Military Strength,poor,Recent occurrences have led us to consider the Koreans as a poor military actor
0,12,Songhai,Iroquois,Military Strength,average,The Iroquois military strength has come to an average level according to the Songhais diplomatic cables
0,14,Morocco,Iroquois,Military Strength,strong,The Moroccans sources indicate that the Iroquois military activities are strong
0,15,Morocco,Kathmandu,Military Strength,average,Kathmandus military potency has attained an average standing according to our sources
0,17,Germany,Morocco,Military Strength,strong,Recent episodes have led the Germans to perceive the Moroccans as a strong military power
0,18,Korea,Germany,Military Strength,poor,Our spies state that the Germans military ambitions are poor
0,18,Iroquois,Morocco,Military Strength,poor,We consider the Moroccans military to be poor
0,19,Songhai,Morocco,Military Strength,poor,Trusted forecasting of ours esteems the Moroccans military power as poor
0,19,Morocco,Iroquois,Military Strength,strong,Trusted forecasting from the Moroccans esteems the Iroquois military force as strong
0,19,Korea,Songhai,Military Strength,average,We figure the Songhais military to be average
0,19,Korea,Iroquois,Military Strength,poor,Recent events have led us to imagine the Iroquois as a poor military force
0,19,Germany,Songhai,Military Strength,strong,The Songhais military strength has hit a strong status according to the Germans agents
0,21,Songhai,Iroquois,Military Strength,poor,We report the Iroquois military to be poor
0,24,Inca,Germany,Military Strength,average,The Incas figure the Germans military to be average
0,26,Songhai,Korea,Military Strength,poor,The Koreans military potency has approached a poor level according to our spies
0,27,Songhai,Morocco,Military Strength,average,Reliable advice of ours rates the Moroccans military might as average
0,27,Morocco,Inca,Military Strength,average,Recent reports have led us to perceive the Incas as an average military player
0,27,Morocco,Korea,Military Strength,average,The Koreans military power has approached an average level according to the Moroccans sources
0,27,Korea,Germany,Military Strength,poor,We consider the Germans military to be poor
0,27,Songhai,Mombasa,Military Strength,average,Mombasas military force has approached an average threshold according to our sources
0,27,Songhai,Kyzyl,Military Strength,strong,Trusted data of ours regards Kyzyls military potency as strong
0,28,Korea,Iroquois,Military Strength,strong,The Iroquois military force has attained a strong status according to the Koreans agents
0,28,Songhai,Iroquois,Military Strength,average,Reliable news of ours classifies the Iroquois military potency as average
0,28,Morocco,Iroquois,Military Strength,poor,Reliable reporting of ours reports the Iroquois military might as poor
0,28,Songhai,Singapore,Military Strength,poor,Singapores military power has arrived at a poor degree according to our spies
0,30,Songhai,Germany,Military Strength,poor,The Germans military might has approached a poor level according to our spies
0,30,Songhai,Korea,Military Strength,average,The Koreans military force has attained an average standing according to the Songhais sources
0,31,Korea,Iroquois,Military Strength,strong,Recent news have led the Koreans to esteem the Iroquois as a strong military agent
0,31,Morocco,Germany,Military Strength,poor,Our agents report that the Germans military pursuits are poor
0,31,Iroquois,Germany,Military Strength,poor,Recent actions have led us to perceive the Germans as a poor military actor
0,31,Songhai,Kathmandu,Military Strength,average,Recent incidents have led us to esteem Kathmandu as an average military actor
0,33,Songhai,Korea,Military Strength,poor,Our agents report that the Koreans military strategies are poor
0,34,Germany,Songhai,Military Strength,average,Recent news have led us to perceive the Songhai as an average military contender
0,35,Songhai,Iroquois,Military Strength,weak,Our intelligence officers show that the Iroquois military plans are weak
0,35,Morocco,Iroquois,Military Strength,poor,The Moroccans spies reveal that the Iroquois military activities are poor
0,35,Morocco,Yerevan,Military Strength,weak,Recent circumstances have led us to esteem Yerevan as a weak military contender
0,37,Morocco,Songhai,Military Strength,average,Trusted intelligence of ours rates the Songhais military might as average
0,37,Germany,Morocco,Military Strength,average,We perceive the Moroccans military to be average
0,37,Iroquois,Songhai,Military Strength,average,We figure the Songhais military to be average
0,37,Morocco,Songhai,Military Strength,strong,Recent news have led the Moroccans to consider the Songhai as a strong military contender
0,38,Morocco,Songhai,Military Strength,strong,Recent happenings have led the Moroccans to imagine the Songhai as a strong military contender
0,38,Iroquois,Kathmandu,Military Strength,average,Recent actions have led us to consider Kathmandu as an average military force
0,39,Songhai,Inca,Military Strength,weak,Our diplomatic cables indicate that the Incas military strategies are weak
0,39,Inca,Morocco,Military Strength,average,Reputable forecasting of ours identifies the Moroccans military potential as average
0,39,Iroquois,Germany,Military Strength,poor,Creditable intelligence of ours ranks the Germans military potency as poor
0,41,Germany,Florence,Military Strength,poor,Recent news have led us to consider Florence as a poor military performer
0,42,Iroquois,Korea,Military Strength,weak,We perceive the Koreans military to be weak
0,44,Inca,Panama City,Military Strength,average,Recent episodes have led us to imagine Panama City as an average military factor
0,44,Iroquois,Yerevan,Military Strength,weak,Our diplomatic cables show that Yerevans military ambitions are weak
0,45,Korea,Germany,Military Strength,poor,We regard the Germans military to be poor
0,45,Germany,Yerevan,Military Strength,average,We report Yerevans military to be average
0,46,Iroquois,Morocco,Military Strength,average,We believe the Moroccans military to be average
0,46,Germany,Kyzyl,Military Strength,strong,Our sources suggest that Kyzyls military activities are strong
0,47,Songhai,Korea,Military Strength,weak,Creditable reporting of ours ranks the Koreans military potential as weak
0,47,Morocco,Korea,Military Strength,weak,The Koreans military force has approached a weak degree according to the Moroccans diplomatic cables
0,47,Korea,Morocco,Military Strength,powerful,The Koreans consider the Moroccans military to be powerful
0,48,Songhai,Germany,Military Strength,weak,Reputable forecasting of ours ranks the Germans military strength as weak
0,49,Inca,Germany,Military Strength,poor,We report the Germans military to be poor
0,49,Iroquois,Germany,Military Strength,poor,Trusted data from the Iroquois reports the Germans military potential as poor
0,49,Morocco,Songhai,Military Strength,average,The Moroccans consider the Songhais military to be average
0,49,Korea,Inca,Military Strength,average,The Incas military strength has attained an average degree according to our agents
0,50,Inca,Korea,Military Strength,weak,Recent actions have led us to esteem the Koreans as a weak military performer
0,50,Morocco,Germany,Military Strength,weak,Trustworthy forecasting from the Moroccans identifies the Germans military potential as weak
0,50,Germany,Songhai,Military Strength,strong,The Songhais military force has arrived at a strong threshold according to the Germans sources
0,50,Korea,Florence,Military Strength,poor,Creditable news of ours esteems Florences military might as poor
0,51,Korea,Iroquois,Military Strength,strong,The Koreans sources state that the Iroquois military interests are strong
0,51,Iroquois,Inca,Military Strength,poor,The Incas military potency has hit a poor level according to our diplomatic cables
0,51,Songhai,Korea,Military Strength,poor,The Songhai consider the Koreans military to be poor
