,Turn,Civ1,Civ2,Relation,Value,Cable
0,59,Songhai,Inca,Trading,trading,We needed an accord to grant a diplomatic outpost in The Incass capital and thus proposed 2 units of gold per turn for the next 30 turns in return
0,72,Korea,Inca,Trading,trading,We desired 1 unit of silver for the upcoming 30 turns and thus extended 1 unit of copper for the subsequent 30 turns in compensation
0,72,Morocco,Iroquois,Trading,trading,We were enthusiastic to bargain with The Iroquois mostly for 2 units of gold per turn for the coming 30 turns
0,83,Germany,Korea,Trading,trading,We wished for 1 unit of copper for the subsequent 30 turns and thus gave 1 unit of salt for the upcoming 30 turns in compensation
0,84,Morocco,Inca,Trading,trading,We desired 1 unit of silver for the next 30 turns and thus gave 1 unit of cotton for the subsequent 30 turns and 10 units of gold per turn for the subsequent 30 turns in exchange
0,102,Germany,Iroquois,Trading,trading,We were giddy to deal with The Iroquois mostly for 1 unit of spices for the subsequent 30 turns
0,106,Korea,Inca,Trading,trading,We were eager to bargain with The Incas specifically for an accord to open the borders into The Incas for the coming 30 turns
0,107,Morocco,Morocco,Trading,trading,We desired 5 units of gold per turn for the coming 30 turns and thus provided a deal to open the borders into Morocco for the upcoming 30 turns in recompense
0,107,Inca,Iroquois,Trading,trading,We coveted an agreement to open the borders into The Iroquois for the next 30 turns and thus gave a deal to open the borders into The Incas for the subsequent 30 turns in payment
0,115,Morocco,Inca,Trading,trading,We wished for 1 unit of silver for the next 30 turns and thus proposed 2 units of iron for the upcoming 30 turns 1 unit of cotton for the upcoming 30 turns and 8 units of gold per turn for the upcoming 30 turns in exchange
0,118,Korea,Morocco,Trading,trading,We wanted a deal to open the borders into Morocco for the subsequent 30 turns and thus extended an agreement to open the borders into Korea for the next 30 turns in exchange
0,119,Morocco,Songhai,Trading,trading,We needed a deal to open the borders into Songhai for the upcoming 30 turns and thus gave 5 units of gold per turn for the subsequent 30 turns in exchange
0,125,Morocco,Iroquois,Trading,trading,We were excited to haggle with The Iroquois mostly for a deal to open the borders into The Iroquois for the coming 30 turns
0,125,Korea,Iroquois,Trading,trading,We needed a deal to accept a diplomatic outpost in The Iroquoiss administrative center and thus proposed a deal to permit a diplomatic outpost in Koreas top city in recompense
0,138,Songhai,Inca,Trading,trading,We were eager to do business with The Incas overwhelmingly for an agreement to open the borders into The Incas for the coming 30 turns
0,138,Inca,Iroquois,Trading,trading,We were eager to deal with The Iroquois overwhelmingly for an agreement to open the borders into The Iroquois for the coming 30 turns
0,142,Germany,Korea,Trading,trading,We desired a deal to open the borders into Korea for the coming 30 turns and thus extended a deal to open the borders into Germany for the subsequent 30 turns in exchange
0,149,Germany,Iroquois,Trading,trading,We wanted an agreement to open the borders into The Iroquois for the subsequent 30 turns and thus offered 5 units of gold per turn for the subsequent 30 turns in exchange
0,165,Morocco,Songhai,Trading,trading,We wanted 2 units of iron for the next 30 turns 1 unit of truffles for the next 30 turns and 15 units of gold per turn for the next 30 turns and thus volunteered 1 unit of cotton for the next 30 turns in payment
0,169,Morocco,Inca,Trading,trading, We were willing to trade with The Incas generally for an accord to open the borders into The Incas for the upcoming 30 turns
0,170,Songhai,Inca,Trading,trading,We needed 27 units of gold and thus volunteered 1 unit of iron for the subsequent 30 turns in recompense
0,170,Germany,Korea,Trading,trading,We were grateful to trade with Korea generally for 2 units of iron for the next 30 turns 2 units of horse for the next 30 turns 346 units of gold and 12 units of gold per turn for the next 30 turns
0,177,Korea,Songhai,Trading,trading,We wished for an accord to open the borders into Songhai for the next 30 turns and thus proposed 9 units of gold per turn for the subsequent 30 turns in return
0,180,Germany,Iroquois,Trading,trading,We hoped for a deal to open the borders into The Iroquois for the subsequent 30 turns and thus proposed 5 units of gold per turn for the subsequent 30 turns in recompense
0,181,Korea,Morocco,Trading,trading,We were excited to trade with Morocco specifically for 2 units of iron for the subsequent 30 turns 1 unit of horse for the subsequent 30 turns and 1 unit of cotton for the subsequent 30 turns
0,188,Korea,Morocco,Trading,trading,We were willing to haggle with Morocco primarily for 5 units of gold per turn for the upcoming 30 turns
0,190,Morocco,Inca,Trading,trading,We desired a deal to agree to a defense agreement for the upcoming 30 turns and 5 units of gold and thus offered an accord to agree to a defense agreement for the subsequent 30 turns and 1 unit of cotton for the subsequent 30 turns in compensation
0,193,Germany,Germany,Trading,trading,We desired 5 units of gold per turn for the next 30 turns and 10 units of gold and thus extended an agreement to open the borders into Germany for the coming 30 turns in return
0,200,Morocco,Inca,Trading,trading,We were grateful to bargain with The Incas mostly for an accord to open the borders into The Incas for the coming 30 turns
0,201,Germany,Korea,Trading,trading,We wished for 1 unit of copper for the subsequent 30 turns and thus volunteered 1 unit of salt for the next 30 turns and 176 units of gold in compensation
0,205,Morocco,Inca,Trading,trading,We were willing to swap with The Incas generally for a deal to agree to a defense pact for the subsequent 30 turns and a deal to acknowledge fighting on Korea
0,217,Korea,Morocco,Trading,trading,We were eager to do business with Morocco specifically for a deal to become part of a defense pact for the next 30 turns
0,218,Germany,Inca,Trading,trading,We desired a deal to open the borders into The Incas for the next 30 turns and thus extended an accord to open the borders into Germany for the upcoming 30 turns in exchange
0,219,Germany,Songhai,Trading,trading,We were ready to swap with Songhai mostly for an agreement to become part of a defensive agreement for the next 30 turns and 2 units of iron for the next 30 turns
0,223,Morocco,Iroquois,Trading,trading,We were eager to trade with The Iroquois primarily for a deal to form a defense agreement for the subsequent 30 turns
0,224,Germany,Iroquois,Trading,trading,We coveted an accord to open the borders into The Iroquois for the coming 30 turns and thus extended an agreement to open the borders into Germany for the upcoming 30 turns in payment
0,231,Morocco,Inca,Trading,trading,We needed an accord to open the borders into The Incas for the next 30 turns and thus offered an agreement to open the borders into Morocco for the coming 30 turns in recompense
0,243,Morocco,Songhai,Trading,trading,We were eager to haggle with Songhai particularly for 1 unit of truffles for the coming 30 turns
0,244,Morocco,Inca,Trading,trading,We coveted 1 unit of silver for the subsequent 30 turns and thus offered 2 units of iron for the coming 30 turns 2 units of horse for the coming 30 turns and 54 units of gold per turn for the coming 30 turns in payment
0,247,Korea,Morocco,Trading,trading, We were quick to exchange with Morocco overwhelmingly for 4 units of gold per turn for the subsequent 30 turns
0,249,Korea,Songhai,Trading,trading,We were enthusiastic to exchange with Songhai generally for an accord to enter into a defensive agreement for the upcoming 30 turns and 2 units of iron for the upcoming 30 turns
0,256,Morocco,Songhai,Trading,trading, We hoped for an agreement to open the borders into Songhai for the next 30 turns and thus suggested an agreement to open the borders into Morocco for the next 30 turns in return
0,262,Songhai,Inca,Trading,trading,We were willing to bargain with The Incas overwhelmingly for an accord to open the borders into The Incas for the next 30 turns
0,266,Morocco,Inca,Trading,trading,We needed an agreement to open the borders into The Incas for the next 30 turns and thus provided 5 units of gold per turn for the upcoming 30 turns in exchange
0,267,Morocco,Inca,Trading,trading,We were excited to exchange with The Incas generally for 59 units of gold per turn for the upcoming 30 turns
0,272,Germany,Korea,Trading,trading,We hoped for a deal to let{} in on Koreas scientific knowledge for the upcoming 30 turns and thus provided a deal to let{} in on Germanys research secrets for the next 30 turns in compensation
0,276,Morocco,Iroquois,Trading,trading, We were eager to haggle with The Iroquois mostly for an agreement to authorize a diplomatic outpost in The Iroquoiss capital
0,286,Morocco,Inca,Trading,trading,We hoped for an agreement to become part of a defense agreement for the coming 30 turns and thus suggested a deal to agree to a defense agreement for the coming 30 turns and 1 unit of fur for the coming 30 turns in exchange
0,291,Morocco,Songhai,Trading,trading,We were quick to barter with Songhai mostly for 2 units of iron for the upcoming 30 turns 48 units of gold per turn for the upcoming 30 turns and 12 units of gold
0,291,Germany,Korea,Trading,trading,We wanted an accord to enter into a mutual protection pact for the coming 30 turns and 1 unit of pearls for the coming 30 turns and thus proposed a deal to join a mutual protection pact for the coming 30 turns 2 units of iron for the coming 30 turns and 111 units of gold in compensation
0,293,Inca,Iroquois,Trading,trading,We felt the need for an accord to open the borders into The Iroquois for the subsequent 30 turns and thus offered 6 units of gold per turn for the subsequent 30 turns in payment
0,295,Songhai,Inca,Trading,trading,We felt the need for an agreement to open the borders into The Incas for the coming 30 turns 2 units of gold per turn for the coming 30 turns and 90 units of gold and thus provided a deal to open the borders into Songhai for the next 30 turns in recompense
0,301,Korea,Songhai,Trading,trading, We were excited to exchange with Songhai generally for 2 units of iron for the upcoming 30 turns and 6 units of gold per turn for the upcoming 30 turns
0,302,Germany,Inca,Trading,trading,We desired a deal to approve a foreign service post in The Incass capital and thus extended a deal to grant a diplomatic outpost in Germanys top city in recompense
0,304,Germany,Germany,Trading,trading,We needed 5 units of gold per turn for the coming 30 turns and thus extended a deal to open the borders into Germany for the coming 30 turns in payment
0,307,Morocco,Iroquois,Trading,trading,We felt the need for a deal to agree to a mutual protection agreement for the coming 30 turns and 2 units of iron for the coming 30 turns and thus gave a deal to join a defensive pact for the subsequent 30 turns and 1 unit of cotton for the subsequent 30 turns in exchange
0,312,Korea,Songhai,Trading,trading,We were giddy to exchange with Songhai primarily for an agreement to agree to a defensive agreement for the coming 30 turns and 1 unit of fur for the coming 30 turns
0,317,Germany,Morocco,Trading,trading,We were eager to haggle with Morocco mostly for 2 units of iron for the coming 30 turns 2 units of coal for the coming 30 turns and 40 units of gold per turn for the coming 30 turns
0,319,Morocco,Songhai,Trading,trading,We yearned for an accord to open the borders into Songhai for the coming 30 turns and thus volunteered a deal to open the borders into Morocco for the subsequent 30 turns in return
0,324,Korea,Songhai,Trading,trading,We were ready to deal with Songhai overwhelmingly for an agreement to form a mutual protection agreement for the upcoming 30 turns and 51 units of gold
