,Turn,Civ1,Civ2,Relation,Value,Cable
0,103,Iroquois,Korea,War,War,This communique is to tell you that we are at war with the Koreans as of today
0,104,Korea,Iroquois,War,War,Urgent: we are now in an established state of conflict with the Iroquois
0,129,Morocco,Inca,War,War,This communique is to disclose to you that we are at war with the Incas as of today
0,130,Inca,Morocco,War,War,We write to express the sad news that we are at war with the Moroccans
0,136,Iroquois,Korea,War,War,This message is to inform you that we are at war with the Koreans as of today
0,136,Morocco,Korea,War,War, We wished for 2 units of horse for the next 30 turns and an agreement to acknowledge conflict on Korea and thus gave 1 unit of cotton for the subsequent 30 turns in exchange
0,137,Korea,Iroquois,War,War,This letter is to share with you that we are at war with the Iroquois as of today
0,151,Inca,Morocco,War,Peace,Cheerful news: we have ended violence with the Moroccans for now
0,158,Iroquois,Korea,War,Peace,We are overjoyed to disclose to you that a settlement for peace has been hammered out with the Koreans
0,173,Iroquois,Korea,War,War,This message is to tell you that we are at war with the Koreans as of today
0,174,Korea,Iroquois,War,War,We write to share the somber news that we are at war with the Iroquois
0,189,Songhai,Korea,War,War,This communique is to tell you that we are at war with the Koreans as of today
0,189,Korea,Songhai,War,War,This cable is to relate to you that we are at war with the Songhai as of today
0,189,Iroquois,Songhai,War,War,This cable is to relate to you that we are at war with the Songhai as of today
0,190,Songhai,Iroquois,War,War,This communique is to tell you that we are at war with the Iroquois as of today
0,194,Morocco,Korea,War,War,We write to state the sad news that we are at war with the Koreans
0,194,Korea,Morocco,War,War,This letter is to tell you that we are at war with the Moroccans as of today
0,205,Korea,Inca,War,War,We write to present the dark news that we are at war with the Incas
0,206,Inca,Korea,War,War,This message is to tell you that we are at war with the Koreans as of today
0,227,Inca,Korea,War,Peace,We are happy to inform you that a settlement for an armistice has been hammered out with the Koreans
0,227,Korea,Inca,War,Peace,Cheerful news: we have halted war with the Incas for now
