,turn,author civ,subject civ,cable
0,2,Germany,Songhai,To Foreign Secretary
1,2,Germany,Songhai,Hopefully this finds all in order at the home office
2,2,Germany,Songhai,The Songhais military potency has hit an average degree according to our intelligence officers
3,2,Germany,Songhai,Our reputed policy with respect to the Songhai feels friendly
4,2,Germany,Songhai,We suspect that the Songhai present a major problem to our ambitions
5,2,Germany,Songhai,Cordially
6,2,Germany,Songhai,The Foreign Service
7,2,Songhai,Ife,Dear Foreign Secretarys Office
8,2,Songhai,Ife,It is always good to hear from you and to write back with reports
9,2,Songhai,Ife,Ifes military potential has reached a poor threshold according to our diplomatic cables
10,2,Songhai,Ife,A friendly manner with Ife is what we assert
11,2,Songhai,Ife,Sincerely yours
12,2,Songhai,Ife,The Ambassador
13,3,Songhai,Germany,To Foreign Office
14,3,Songhai,Germany,I hope this letter finds you well
15,3,Songhai,Germany,We estimate the Germans to be an average target for attack
16,3,Songhai,Germany,Our relations with the Germans at present are friendly
17,3,Songhai,Germany,We think that the Germans constitute a major threat to our interests
18,3,Songhai,Germany,All the best
19,3,Songhai,Germany,The Ambassador
20,3,Korea,Mombasa,To Honorable Foreign Secretary
21,3,Korea,Mombasa,I hope all is going well at home
22,3,Korea,Mombasa,Our public stance toward Mombasa appears neutral
23,3,Korea,Mombasa,We acknowledge the feasibility of taking over Mombasa to be favorable
24,3,Korea,Mombasa,Best regards
25,3,Korea,Mombasa,His Excellency the Ambassador
26,4,Morocco,Kathmandu,Dearest Foreign Office
27,4,Morocco,Kathmandu,I hope all is going well
28,4,Morocco,Kathmandu,We acknowledge the hope of conquering Kathmandu to be favorable
29,4,Morocco,Kathmandu,All the best
30,4,Morocco,Kathmandu,Moroccan embassy in Kathmandu
31,5,Morocco,The Incas,Honorable Foreign Secretary
32,5,Morocco,The Incas,Your humble representatives wish you well
33,5,Morocco,The Incas,A neutral civilization is how our sources portrayed their rapport with the Incas
34,5,Morocco,The Incas,Our sources intimate that the Incas military ambitions are average
35,5,Morocco,The Incas,Faithfully yours
36,5,Morocco,The Incas,The Foreign Service
37,6,The Incas,Morocco,Dear faithful foreign correspondent
38,6,The Incas,Morocco,We here at home wish to express our gratitude for your efforts in-country
39,6,The Incas,Morocco,Our relations with the Moroccans presently are friendly
40,6,The Incas,Morocco,We infer that the Moroccans represent a major threat to our plans
41,6,The Incas,Morocco,Warm regards
42,6,The Incas,Morocco,The Foreign Secretarys Office
43,6,Germany,Ife,To Foreign Correspondents Office
44,6,Germany,Ife,We hope this finds you enjoying your posting
45,6,Germany,Ife,Our relations with Ife these days are neutral
46,6,Germany,Ife,We report Ife to be a favorable target for attack
47,6,Germany,Ife,We regard Ifes military to be poor
48,6,Germany,Ife,Respectfully
49,6,Germany,Ife,The Honorable Foreign Secretary
50,6,Korea,Bogota,Dearest ambassador to Bogota
51,6,Korea,Bogota,We here at home wish to express our gratitude for your efforts in-country
52,6,Korea,Bogota,Our announced feeling regarding Bogota looks neutral
53,6,Korea,Bogota,We believe Bogotas economy to be average
54,6,Korea,Bogota,We report Bogota to be a favorable target for attack
55,6,Korea,Bogota,Respectfully
56,6,Korea,Bogota,The Office of the Foreign Secretary
57,7,Songhai,The Iroquois,Greetings Chief of Mission
58,7,Songhai,The Iroquois,Best wishes from His Honor the Foreign Secretary
59,7,Songhai,The Iroquois,We disclosed that transactions between us and the Iroquois are these days friendly
60,7,Songhai,The Iroquois,We estimate the Iroquois to be pursuing technological dominance at present
61,7,Songhai,The Iroquois,Our diplomatic cables are thoroughly confident in this estimate
62,7,Songhai,The Iroquois,A neutral party is how our intelligence officers portrayed their association with the Iroquois
63,7,Songhai,The Iroquois,Please report on the Iroquois military pursuits as the foreign office is most troubled about the Iroquois doings
64,7,Songhai,The Iroquois,All the best
65,7,Songhai,The Iroquois,His Honor the Foreign Secretary
66,7,The Iroquois,Songhai,Dearest Chief of Mission
67,7,The Iroquois,Songhai,We are always happy to hear from you and write with what we hope is helpful news
68,7,The Iroquois,Songhai,According to our sources the Songhai are centered around unknown preeminence
69,7,The Iroquois,Songhai,This hypothesis comes from a not at all sure source
70,7,The Iroquois,Songhai,We feel that the Songhai are a major obstacle to our strategies
71,7,The Iroquois,Songhai,The foreign office requests any data available pertaining to the Songhais economic potential
72,7,The Iroquois,Songhai,We imagine the likelihood of forcefully dominating the Songhai to be average
73,7,The Iroquois,Songhai,A friendly manner with the Songhai is what we maintain
74,7,The Iroquois,Songhai,We perceive the Songhais military to be average
75,7,The Iroquois,Songhai,We consider the Songhai to be a neutral civilization
76,7,The Iroquois,Songhai,Respectfully
77,7,The Iroquois,Songhai,The Honorable Foreign Secretary
78,7,Songhai,Panama City,Dearest Your Honor
79,7,Songhai,Panama City,Our hearts are always hearty after hearing from you
80,7,Songhai,Panama City,We disclosed that proceedings between us and Panama City are now friendly
81,7,Songhai,Panama City,Best regards
82,7,Songhai,Panama City,Songhai embassy in Panama City
83,8,The Incas,Florence,Dear Your Honor the Foreign Secretary
84,8,The Incas,Florence,I hope all is going well at home
85,8,The Incas,Florence,We see the possibility of forcefully dominating Florence to be soft
86,8,The Incas,Florence,Best regards
87,8,The Incas,Florence,The Foreign Service
88,9,Korea,Germany,To Your Excellency the Ambassador
89,9,Korea,Germany,I hope all is going well
90,9,Korea,Germany,The foreign office must have any reporting obtainable regarding the Germans economic might
91,9,Korea,Germany,We figure the Germans to be an average target for attack
92,9,Korea,Germany,Our agents currently see the Germans as a neutral party
93,9,Korea,Germany,We believe the Germans military to be average
